word,class,level,definition,synonyms
analyst,noun,b2,a person whose job involves examining facts or materials in order to give an opinion on them,[]
ancestor,noun,b2,a person in your family who lived a long time ago,[]
anchor,noun,c1,a heavy metal object that is attached to a rope or chain and dropped over the side of a ship or boat to keep it in one place,[]
ancient,adjective,a2,belonging to a period of history that is thousands of years in the past,[]
and,conjunction,a1,also; in addition to,[]
angel,noun,c1,"a spirit who is believed to be a servant of God, and is sent by God to deliver a message or perform a task. Angels are often shown dressed in white, with wings.",[]
anger,noun,b2,the strong feeling that you have when something has happened that you think is bad and unfair,[]
angle,noun,b2,"the space between two lines or surfaces that join, measured in degrees",[]
angrily,adverb,,in a way that shows you have strong feelings about something that you dislike very much or about an unfair situation,[]
angry,adjective,a1,having strong feelings about something that you dislike very much or about an unfair situation,"[""mad"",""indignant"",""cross"",""irate""]"
animal,noun,a1,"a creature that is not a bird, a fish, a reptile, an insect or a human",[]
animation,noun,b2,"the process of making films, videos and computer games in which drawings, models or images of people and animals seem to move",[]
ankle,noun,a2,the joint connecting the foot to the leg; the narrow part of the leg just above the ankle joint,[]
anniversary,noun,b2,a date that is an exact number of years after the date of an important or special event,[]
announce,verb,b1,"to tell people something officially, especially about a decision, plans, etc.","[""state"",""indicate""]"
announcement,noun,b1,a spoken or written statement that informs people about something,"[""comment"",""remark"",""declaration"",""observation""]"
annoy,verb,b1,to make somebody slightly angry,[]
annoyed,adjective,b1,slightly angry,[]
annoying,adjective,b1,making somebody feel slightly angry,[]
annual,adjective,b2,happening or done once every year,[]
annually,adverb,b2,once a year,[]
anonymous,adjective,c1,with a name that is not known or that is not made public,[]
another,pronoun,a1,one more; an extra thing or person,[]
answer,noun,a1,"something that you say, write or do to react to a question or situation",[]
answer,verb,a1,"to say, write or do something as a reaction to a question or situation",[]
anticipate,verb,b2,to expect something,[]
anxiety,noun,b2,the state of feeling nervous or worried that something bad is going to happen,[]
anxious,adjective,b2,feeling worried or nervous,"[""concerned"",""nervous"",""uneasy""]"
any,adverb,a2,"used to emphasize an adjective or adverb in negative sentences or questions, meaning ‘at all’",[]
any,pronoun,a1,"used in negative sentences and in questions and after if or whether to refer to an amount or a number, however large or small",[]
anybody,pronoun,a2,"used instead of somebody in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc.",[]
anyone,pronoun,a1,"used instead of someone in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc.",[]
anything,pronoun,a1,"used instead of something in negative sentences and in questions; after if/whether; and after verbs such as prevent, ban, avoid, etc.",[]
anyway,adverb,a2,used when adding something to support an idea or argument,[]
anywhere,adverb,a2,used in negative sentences and in questions instead of somewhere,[]
anywhere,pronoun,a2,used in negative sentences and in questions instead of somewhere,[]
apart,adverb,b1,"separated by a distance, of space or time",[]
apartment,noun,a1,"a set of rooms for living in, usually on one floor of a building",[]
apologize,verb,b1,to say that you are sorry for doing something wrong or causing a problem,[]
apology,noun,b2,a word or statement saying sorry for something that has been done wrong or that causes a problem,[]
app,noun,a2,"a piece of software that you can download to a device such as a smartphone or tablet, for example to look up information or to play a game",[]
apparatus,noun,c1,the tools or other pieces of equipment that are needed for a particular activity or task,"[""material"",""gear"",""kit""]"
apparent,adjective,b2,easy to see or understand,"[""obvious"",""evident"",""plain""]"
apparently,adverb,b2,according to what you have heard or read; according to the way something appears,[]
appeal,noun,b2,"a deeply felt request for money, help or information that is needed immediately, especially one made by a charity or by the police",[]
appeal,verb,b2,"to make a deeply felt request, especially for something that is needed immediately",[]
appealing,adjective,c1,attractive or interesting,[]
appear,verb,a2,to start to be seen,[]
appearance,noun,a2,the way that somebody/something looks on the outside; what somebody/something seems to be,[]
appetite,noun,c1,physical desire for food,[]
applaud,verb,c1,to show your approval of somebody/something by clapping your hands (= hitting your open hands together several times),[]
apple,noun,a1,a round fruit with shiny red or green skin that is fairly hard and white inside,[]
applicable,adjective,c1,that can be said to be true in the case of somebody/something,[]
applicant,noun,b2,"a person who makes a formal request for something (= applies for it), especially for a job, a place at a college or university, etc.",[]
application,noun,b1,"a formal (often written) request for something, such as a job, permission to do something or a place at a college or university",[]
apply,verb,a2,"to make a formal request, usually in writing, for something such as a job, a loan, permission for something, a place at a university, etc.",[]
appoint,verb,c1,to choose somebody for a job or position of responsibility,[]
appointment,noun,b1,"a formal arrangement to meet or visit somebody at a particular time, especially for a reason connected with their work","[""position"",""post"",""vacancy""]"
appreciate,verb,b1,to recognize the good qualities of somebody/something,[]
appreciation,noun,c1,pleasure that you have when you recognize and enjoy the good qualities of somebody/something,[]
approach,noun,b2,a way of dealing with somebody/something; a way of doing or thinking about something such as a problem or a task,[]
approach,verb,b2,to come near to somebody/something in distance or time,[]
